Name,Popularity,Album,Release,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Tempo,Instrumentalness,Valence,Duration
Si Veo a Tu Mamá,87,YHLQMDLG,2020-02-29,0.9,0.603,2,-5.313,0.0646,0.402,129.928,4.81e-06,0.824,170.972
La Difícil,86,YHLQMDLG,2020-02-29,0.685,0.848,8,-4.561,0.0858,0.0861,179.87,7.14e-06,0.761,163.084
Pero Ya No,80,YHLQMDLG,2020-02-29,0.882,0.612,4,-6.103,0.118,0.0475,147.982,5.07e-06,0.742,160.638
La Santa,88,YHLQMDLG,2020-02-29,0.744,0.868,1,-4.524,0.047,0.0326,93.037,0.0,0.586,206.42
Yo Perreo Sola,83,YHLQMDLG,2020-02-29,0.86,0.758,11,-5.16,0.0695,0.021,97.014,6.54e-05,0.453,172.127
Soliá,81,YHLQMDLG,2020-02-29,0.71,0.81,2,-5.507,0.0854,0.117,92.041,0.000132,0.184,159.282
La Zona,86,YHLQMDLG,2020-02-29,0.762,0.801,1,-3.661,0.0409,0.2,93.992,7.04e-05,0.81,136.893
Que Malo,81,YHLQMDLG,2020-02-29,0.802,0.787,7,-6.181,0.0599,0.0832,94.026,0.0,0.446,167.975
Vete,80,YHLQMDLG,2020-02-29,0.886,0.672,1,-4.394,0.188,0.0363,91.976,8.78e-06,0.526,192.024
A Tu Merced,90,YHLQMDLG,2020-02-29,0.86,0.791,0,-4.784,0.0568,0.169,92.023,0.000106,0.887,175.918
Una Vez,87,YHLQMDLG,2020-02-29,0.55,0.598,11,-5.402,0.0831,0.132,83.836,2.58e-06,0.543,232.496
Safaera,85,YHLQMDLG,2020-02-29,0.607,0.829,2,-4.074,0.379,0.0103,96.172,0.0,0.685,295.177
Puesto Pa' Guerrial,72,YHLQMDLG,2020-02-29,0.867,0.686,4,-5.342,0.221,0.311,139.968,0.0,0.658,190.207
P FKN R,74,YHLQMDLG,2020-02-29,0.82,0.635,5,-5.749,0.0772,0.409,101.024,0.0,0.528,258.28
MOJAITA,72,OASIS,2019-06-28,0.45,0.842,0,-3.602,0.102,0.0171,172.069,0.0,0.885,187.333
YO LE LLEGO,72,OASIS,2019-06-28,0.785,0.792,9,-4.695,0.0641,0.0104,155.036,0.0,0.528,249.6
QUE PRETENDES,83,OASIS,2019-06-28,0.639,0.791,10,-4.443,0.253,0.0275,92.603,0.0,0.939,222.347
LA CANCIÓN,89,OASIS,2019-06-28,0.754,0.646,7,-5.795,0.317,0.152,176.089,1.85e-05,0.429,242.573
UN PESO,81,OASIS,2019-06-28,0.627,0.675,5,-7.125,0.213,0.125,79.31,0.0,0.961,277.107
ODIO,72,OASIS,2019-06-28,0.74,0.698,6,-3.838,0.0388,0.215,139.99,0.0,0.529,270.4
NI BIEN NI MAL,80,X 100PRE,2018-12-23,0.826,0.449,5,-8.33,0.0674,0.556,128.028,1.85e-05,0.337,236.216
¿Quien Tu Eres?,71,X 100PRE,2018-12-23,0.727,0.58,2,-6.804,0.136,0.185,137.048,3.58e-06,0.325,159.229
Tenemos Que Hablar,72,X 100PRE,2018-12-23,0.855,0.512,11,-8.165,0.0534,0.146,146.075,0.000854,0.144,224.512
Otra Noche en Miami,84,X 100PRE,2018-12-23,0.514,0.646,1,-8.833,0.275,0.197,88.661,2.3e-05,0.297,233.128
Ser Bichote,71,X 100PRE,2018-12-23,0.785,0.626,4,-8.03,0.0675,0.158,154.946,4.6e-06,0.183,193.211
Si Estuviésemos Juntos,88,X 100PRE,2018-12-23,0.672,0.594,1,-6.813,0.0789,0.0626,171.854,5.14e-05,0.158,169.248
Solo de Mi,76,X 100PRE,2018-12-23,0.743,0.73,10,-4.314,0.125,0.287,179.972,8.1e-05,0.15,197.968
La Romana,79,X 100PRE,2018-12-23,0.655,0.725,0,-5.497,0.188,0.0327,125.8,0.00264,0.326,300.579
RLNDT,74,X 100PRE,2018-12-23,0.6,0.528,0,-6.554,0.0308,0.263,108.025,0.0,0.142,284.853
MIA,68,X 100PRE,2018-12-23,0.816,0.538,6,-6.354,0.0617,0.0142,97.054,0.000496,0.156,210.368
Otra Vez,54,Otra Vez,2016-07-29,0.624,0.62,10,-6.678,0.0719,0.158,114.806,0.0,0.428,355.5
Me Llueven,59,Me Llueven,2017-01-16,0.853,0.724,7,-4.22,0.0712,0.289,121.989,0.0,0.6,165.995
Tranquilo,52,Tranquilo,2017-03-24,0.767,0.581,1,-5.014,0.43,0.112,118.152,0.0,0.19,215.593
Trepate,49,Trepate,2017-04-07,0.749,0.602,2,-7.212,0.0865,0.216,120.082,3e-06,0.158,260.707
Un Ratito Mas,72,Un Ratito Mas,2017-06-05,0.523,0.629,1,-4.058,0.0549,0.156,140.101,0.0,0.209,283.121
Tu No Metes Cabra,73,Tu No Metes Cabra,2017-07-06,0.86,0.641,7,-2.149,0.219,0.689,92.013,0.00331,0.432,170.762
Panamera - Remix,42,Panamera (Remix),2017-07-28,0.573,0.785,10,-3.225,0.219,0.156,116.064,0.0,0.57,296.112
Lean,56,Lean,2017-08-23,0.73,0.62,9,-6.373,0.0908,0.235,127.025,1.5e-06,0.273,228.676
Loca - Remix,77,Loca Remix,2018-03-16,0.795,0.751,8,-3.661,0.0675,0.337,113.033,0.0,0.537,346.46
Madura (feat. Bad Bunny),76,Madura (feat. Bad Bunny),2018-04-13,0.878,0.555,1,-7.639,0.202,0.138,88.029,1.34e-06,0.751,190.909
Me Acostumbre (feat. Bad Bunny),74,Me Acostumbre (feat. Bad Bunny),2017-04-11,0.808,0.586,10,-7.242,0.169,0.641,124.041,0.0,0.568,263.288
Satisfacción,57,Satisfacción,2018-08-03,0.622,0.503,5,-6.724,0.201,0.282,136.048,0.0,0.314,256.493
Vamos Pa' la Calle,55,Vamos Pa' la Calle,2018-08-21,0.728,0.877,6,-3.552,0.176,0.544,88.024,0.0,0.78,207.48
SI ELLA SALE,69,LAS QUE NO IBAN A SALIR,2020-05-10,0.869,0.727,7,-7.397,0.123,0.0589,147.967,0.00991,0.92,143.24
MÁS DE UNA CITA,72,LAS QUE NO IBAN A SALIR,2020-05-10,0.865,0.5,5,-10.805,0.0861,0.0122,92.976,7.73e-05,0.317,183.52
PA' ROMPERLA,75,LAS QUE NO IBAN A SALIR,2020-05-10,0.772,0.83,7,-5.019,0.0599,0.016,94.011,0.0,0.697,194.2
RONCA FREESTYLE,70,LAS QUE NO IBAN A SALIR,2020-05-10,0.856,0.656,5,-6.483,0.131,0.165,90.041,0.0,0.586,150.06
Solita,80,Solita,2018-01-19,0.807,0.633,10,-6.016,0.0929,0.0564,138.038,0.0,0.325,311.726
Si Tu Novio Te Deja Sola,78,Si Tu Novio Te Deja Sola,2017-03-03,0.718,0.46,3,-9.498,0.0711,0.519,121.927,0.0,0.52,243.56
Sensualidad,78,Sensualidad,2017-11-03,0.807,0.681,11,-6.268,0.0983,0.423,140.006,0.0,0.676,297.485
